Query ID	Protein Domains
SLCO1B3	Major_facilitator_superfamily, Major_facilitator_superfamily_general_substrate_transporter, Organic_anion_transporter_polypeptide_OATP, Protease_inhibitor_Kazal-type, Proteinase_inhibitor_I1_Kazal
ZNF521	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding, Zinc_finger_RING/FYVE/PHD-type
LPL	Lipase, Lipase/lipooxygenase_PLAT/LH2, Lipase_N-terminal, Lipoprotein_lipase, Lipoprotein_lipase_LIPH, Lipoxygenase_LH2
CHEK2	Forkhead-associated_(FHA)_domain, Protein_kinase-like_domain, Protein_kinase_catalytic_domain, Serine/threonine-protein_kinase-like_domain, Serine/threonine-protein_kinase_active_site, Serine/threonine-protein_kinase_domain, SMAD/FHA_domain
MKL1	DNA-binding_SAP, RPEL_repeat
CSF1R	Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site
CBFA2T3	Eight-Twenty-One, Myeloid_transforming_gene_on_chromosome_16_(MTG16), NHR2-like, TAFH/NHR1, Zinc_finger_MYND-type
CLCA2	Calcium-activated_chloride_channel_protein, Chloride_channel_calcium-activated, Domain_of_unknown_function_DUF1973, von_Willebrand_factor_type_A
LPXN	Leupaxin, Zinc_finger_LIM-type
MACROD1	Appr-1-p_processing, Uncharacterised_protein_family_UPF0189
RUNX1T1	Eight-Twenty-One, Myeloid_transforming_gene_on_chromosome_8_(MTG8), NHR2-like, TAFH/NHR1, Zinc_finger_MYND-type
SH3D19	Neutrophil_cytosol_factor_2_p67phox, Src_homology-3_domain, Variant_SH3
TRPS1	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_GATA-type, Zinc_finger_NHR/GATA-type
USP42	Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2, Peptidase_C19_ubiquitin_carboxyl-terminal_hydrolase_2_conserved_site
YTHDF2	YTH_domain
ZNF687	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
ATP5O	ATPase_F1_complex_OSCP/delta_subunit, ATPase_F1_complex_OSCP/delta_subunit_conserved_site
ELK4	Ets, Winged_helix-turn-helix_transcription_repressor_DNA-binding
SSX1	Krueppel-associated_box, Krueppel-associated_box-related, SSXRD_motif
SSX4	Krueppel-associated_box, Krueppel-associated_box-related
ZNF384	Zinc_finger_C2H2-like, Zinc_finger_C2H2-type, Zinc_finger_C2H2-type/integrase_DNA-binding
RHOA	Ras, Ras_GTPase, Small_GTP-binding_protein, Small_GTPase_Rho_type
HLF	Basic-leucine_zipper_(bZIP)_transcription_factor, Basic_leucine_zipper
NOP2	Bacterial_Fmu_(Sun)/eukaryotic_nucleolar_NOL1/Nop2p, Bacterial_Fmu_(Sun)/eukaryotic_nucleolar_NOL1/Nop2p_conserved_site, Nop2p, P120R, RNA_(C5-cytosine)_methyltransferase, RNA_(C5-cytosine)_methyltransferase_NOP2
LMO1	Zinc_finger_LIM-type
LMO2	Zinc_finger_LIM-type
MTCP1NB	MTCP1
NTRK1	Cysteine-rich_flanking_region_C-terminal_domain, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_neurotrophic_receptor, Tyrosine-protein_kinase_neurotrophic_receptor_type_1, Tyrosine-protein_kinase_receptor_class_II_conserved_site
ETV5	Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding
TCF7L2	CTNNB1_binding_N-teminal, High_mobility_group_HMG1/HMG2, High_mobility_group_superfamily
CAMTA1	Ankyrin_repeat, Ankyrin_repeat-containing_domain, Cell_surface_receptor_IPT/TIG, CG-1, Immunoglobulin-like_fold, Immunoglobulin_E-set, IQ_motif_EF-hand_binding_site
PRKCA	AGC-kinase_C-terminal, C2_calcium-dependent_membrane_targeting, C2_calcium/lipid-binding_domain_CaLB, C2_membrane_targeting_protein, C2_region, Diacylglycerol/phorbol-ester_binding, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_C-like_phorbol_ester/diacylglycerol_binding, Protein_kinase_C-terminal, Protein_kinase_C_alpha/beta/gamma_types, Protein_kinase_catalytic_domain, Serine/threonine-protein_kinase-like_domain, Serine/threonine-protein_kinase_active_site, Serine/threonine-protein_kinase_domain
STAT6	EF-hand-like_domain, p53-like_transcription_factor_DNA-binding, SH2_motif, STAT_transcription_factor_all-alpha, STAT_transcription_factor_coiled_coil, STAT_transcription_factor_core, STAT_transcription_factor_DNA-binding, STAT_transcription_factor_DNA-binding_subdomain, STAT_transcription_factor_protein_interaction
AGR3	Thioredoxin-like_fold, Thioredoxin_fold
BAIAP2L1	IRSp53/MIM_homology_domain_(IMD), Src_homology-3_domain, Variant_SH3
TACC3	Transforming_acidic_coiled-coil-containing
